PRODUCT_TYPE,MAX_QTY_IN_ORDER,SKU,PRODUCT_ID,PARENT_ID,COLLECTION_ID,PRODUCT_NAME,VARIANT_FILLING,THUMBNAILS,DESCRIPTION
COLLECTION,nullify,sku-dark-chocolate-collection,prod-dark-chocolate-collection,,,Dark Chocolate,,https://www.sees.com/dw/image/v2/AATS_PRD/on/demandware.static/-/Sites-sees-catalog/default/dwc17d5923/images/centennial/centennial-dark-chocolates-1lb-40330-easter-candy-box-alt1.jpg?sw=1036&sh=1036,"A taste of cacao in every bite, we use only the best ingredients in our dark chocolate boxes for a sweet, luxurious treat."
COLLECTION,1,sku-milk-chocolate-collection,prod-milk-chocolate-collection,,,Milk Chocolate,,https://www.sees.com/dw/image/v2/AATS_PRD/on/demandware.static/-/Sites-sees-catalog/default/dw4cf897d5/images/easter/assorted-eggs-746-candy-alt2.jpg?sw=1036&sh=1036,"Classic, smooth milk chocolate boxes for every occasion."
KIT,1,sku-chocolate-kit,prod-chocolate-kit,,,Gift of Elegance,,https://www.sees.com/dw/image/v2/AATS_PRD/on/demandware.static/-/Sites-sees-catalog/default/dw9175966c/images/all-year/gift-of-elegance-887-candy-box-alt1.jpg?sw=1036&sh=1036,Featuring an extraordinary four pounds of our finest chocolates and candies-a truly impressive assortment of See's confections.. 
,1,,,,,,,,
Almond Bud,1, Almond Royal, Blueberry Truffle, Butterscotch Chews, Butterscotch Square, Caramel, Chelsea, Chocolate Butter Caramel, Chocolate Fudge, Cocoanut, Dark Almond, Dark Bordeaux�, Dark Butterchew, Dark Buttercream, Dark California Brittle, Dark Chocolate Butter, Dark Molasses Chips, Dark Nougat, Dark Patties, Divinity, Lemon Truffle, Maple Walnut, Marzipan, Mayfair, Milk Almond, Milk Beverly, Milk Bordeaux�, Milk Butterchew, Milk California Brittle, Milk Chocolate Butter, Milk Molasses Chips, Mini Peanut Square, Mocha, Normandie, Peanut Square, Pecan Bud, Pecan Roll, Pineapple Truffle, Raspberry Cream, Rum Nougat, Scotchmallow�, Toffee-ette, Vanilla Nut Caramel, Vanilla Nut Cream, Vanilla Nut Fudge, Walnut Roll," Walnut Square."""
UNKNOWN,1,sku-assorted-candy-bars,prod-assorted-candy-bars,,,Assorted Candy Bars,,https://www.sees.com/dw/image/v2/AATS_PRD/on/demandware.static/-/Sites-sees-catalog/default/dw67e8e51d/images/all-year/assorted-chocoate-bars-9659-pack-alt1.jpg?sw=1036&sh=1036,"Made of creamy milk chocolate and decadent dark chocolate, these bars are the perfect treat. Slip them into lunch boxes, gifts, party favors or your desk drawer for an anytime snack.�They also make a great gift. Individually wrapped. 4 per pack."
REGULAR,1,sku-milk-chocolate-bunny,prod-milk-chocolate-bunny,,prod-milk-chocolate-collection,Milk Chocolate Bunny,,https://www.sees.com/dw/image/v2/AATS_PRD/on/demandware.static/-/Sites-sees-catalog/default/dw173d601e/images/easter/milk-chocolate-bunny-738-candy-alt1.jpg?sw=1036&sh=1036,"Start with the ears. Made with See�s creamy milk chocolate, our hollow bunny is a welcome addition to any Easter basket. Approximately 5"" tall. Sold as single."
REGULAR,1,sku-milk-peppermints,prod-milk-peppermints,,prod-milk-chocolate-collection,Milk Peppermints,,https://www.sees.com/dw/image/v2/AATS_PRD/on/demandware.static/-/Sites-sees-catalog/default/dw819bb6cc/images/all-year/milk-peppermints-509-box-alt1.jpg?sw=1036&sh=1036,"Smooth, rich and creamy. These refreshing treats take cool peppermint cream and wrap it in our delicious milk chocolate. Approximately 12 per box."
REGULAR,1,sku-chocolate-walnut-fudge,prod-chocolate-walnut-fudge,,,Chocolate Walnut Fudge,,https://www.sees.com/dw/image/v2/AATS_PRD/on/demandware.static/-/Sites-sees-catalog/default/dwcb6a7991/images/all-year/chocolate-walnut-fudge-933-box-alt1.jpg?sw=1036&sh=1036,"This is one of Warren's favorite treats! Our unbeatable chocolate walnut fudge is made from Mary's own original recipe, using the only the finest ingredients of fresh butter, heavy�cream, premium walnuts and sugar.�The box is wrapped in a commemorative shareholder meeting sleeve, an event exclusive."
REGULAR,1,sku-milk-chocolate-drops,prod-milk-chocolate-drops,,prod-milk-chocolate-collection,Milk Chocolate Drops,,https://www.sees.com/dw/image/v2/AATS_PRD/on/demandware.static/-/Sites-sees-catalog/default/dw8711895e/images/all-year/milk-chocolate-drops-bag-728-alt1.jpg?sw=1036&sh=1036,Happiness by the handful. Our bite-sized milk chocolate drops are perfect for snacking and baking.
